numBoids;framerate;executionTime(ms)
500;53;18,7071
500;42;23,4220
500;183;5,4522
500;303;3,2913
500;242;4,1202
500;221;4,5174
500;353;2,8276
500;364;2,7414
500;407;2,4561
500;200;4,9950
500;489;2,0438
500;420;2,3787
500;302;3,3049
500;231;4,3218
500;224;4,4600
500;477;2,0929
500;324;3,0835
500;308;3,2369
500;353;2,8282
500;401;2,4904
500;494;2,0223
500;470;2,1267
500;265;3,7730
500;557;1,7947
500;501;1,9934
500;609;1,6399
500;324;3,0779
500;581;1,7204
500;624;1,6013
500;513;1,9465
500;495;2,0181
500;136;7,3382
500;454;2,2000
500;488;2,0471
500;416;2,4030
500;544;1,8350
500;546;1,8301
500;533;1,8756
500;594;1,6832
500;540;1,8494
500;473;2,1104
500;311;3,2149
500;421;2,3729
500;355;2,8166
500;535;1,8674
500;625;1,5995
500;483;2,0701
500;568;1,7592
500;384;2,6004
500;601;1,6616
500;611;1,6348
1500;267;3,7333
1500;210;4,7443
1500;229;4,3576
1500;152;6,5702
1500;163;6,1206
1500;218;4,5841
1500;208;4,7961
1500;217;4,5943
1500;138;7,2199
1500;250;3,9860
1500;191;5,2255
1500;171;5,8448
1500;217;4,6030
1500;246;4,0587
1500;218;4,5823
1500;199;5,0177
1500;183;5,4353
1500;171;5,8259
1500;179;5,5664
1500;216;4,6286
1500;200;4,9762
1500;159;6,2825
1500;167;5,9596
1500;195;5,1075
1500;176;5,6516
1500;167;5,9622
1500;195;5,1224
1500;194;5,1372
1500;212;4,7018
1500;150;6,6608
1500;180;5,5436
1500;209;4,7714
1500;202;4,9365
1500;202;4,9367
1500;146;6,8044
1500;148;6,7213
1500;169;5,8956
1500;189;5,2749
1500;181;5,5021
1500;152;6,5567
1500;158;6,3215
1500;120;8,2753
1500;195;5,1102
1500;185;5,3856
1500;263;3,7903
1500;268;3,7268
1500;267;3,7360
1500;197;5,0668
1500;201;4,9579
1500;223;4,4652
1500;205;4,8553
2500;186;5,3723
2500;119;8,3640
2500;78;12,7325
2500;116;8,5773
2500;129;7,7509
2500;108;9,2133
2500;90;10,9975
2500;112;8,8785
2500;114;8,6973
2500;109;9,1417
2500;104;9,6065
2500;133;7,4764
2500;102;9,7601
2500;111;8,9429
2500;131;7,6286
2500;133;7,4766
2500;128;7,8110
2500;121;8,2316
2500;97;10,2639
2500;114;8,7266
2500;109;9,0979
2500;90;11,0163
2500;94;10,6162
2500;99;10,0833
2500;93;10,6519
2500;84;11,8892
2500;94;10,5473
2500;93;10,7362
2500;98;10,1790
2500;106;9,4223
2500;91;10,8790
2500;106;9,4246
2500;88;11,2635
2500;67;14,7739
2500;111;9,0024
2500;110;9,0404
2500;109;9,1705
2500;116;8,5833
2500;114;8,7329
2500;117;8,5084
2500;96;10,3778
2500;101;9,8160
2500;124;8,0319
2500;109;9,1712
2500;106;9,3781
2500;116;8,5503
2500;108;9,2151
2500;97;10,2886
2500;105;9,5093
2500;111;8,9924
2500;108;9,2379
5000;54;18,3469
5000;36;27,0364
5000;32;31,0518
5000;39;25,2962
5000;34;28,7711
5000;29;34,1431
5000;33;30,1131
5000;29;33,8705
5000;26;37,3402
5000;35;28,1529
5000;26;37,8886
5000;29;33,6065
5000;30;33,2236
5000;34;29,3947
5000;36;27,2568
5000;30;33,0610
5000;31;31,2726
5000;29;33,4999
5000;32;31,0352
5000;32;31,0313
5000;36;27,2519
5000;35;28,0808
5000;34;29,2032
5000;37;26,8786
5000;33;30,0404
5000;35;28,3606
5000;30;32,9077
5000;33;29,7059
5000;34;29,3480
5000;35;28,4360
5000;31;31,7706
5000;32;30,8663
5000;31;31,3011
5000;33;29,9108
5000;31;31,8254
5000;35;28,1590
5000;33;30,2283
5000;35;28,3204
5000;37;26,6472
5000;33;29,4999
5000;32;30,4920
5000;31;32,0472
5000;32;30,4789
5000;32;31,0320
5000;30;33,1438
5000;31;31,8819
5000;27;36,4449
5000;27;36,8412
5000;29;33,6609
5000;33;29,6801
5000;33;29,9397
7500;21;45,4996
7500;17;56,0320
7500;18;53,0855
7500;16;59,8782
7500;16;59,1325
7500;18;53,3337
7500;19;52,2902
7500;18;54,2346
7500;17;57,1813
7500;17;58,0286
7500;17;55,9275
7500;17;56,7982
7500;18;54,2241
7500;16;59,4664
7500;17;58,8102
7500;17;57,3531
7500;16;62,3435
7500;15;63,2107
7500;17;56,3586
7500;16;59,7585
7500;16;62,4129
7500;17;55,8308
7500;16;60,6440
7500;17;56,1922
7500;17;56,4991
7500;17;57,5239
