numBoids;framerate;executionTime(ms)
500;45;21,9180
500;60;16,6443
500;61;16,3462
500;61;16,2389
500;59;16,7030
500;823;1,2150
500;816;1,2245
500;730;1,3682
500;697;1,4335
500;822;1,2163
500;702;1,4230
500;909;1,1000
500;899;1,1123
500;651;1,5354
500;877;1,1395
500;878;1,1378
500;761;1,3125
500;837;1,1937
500;922;1,0836
500;876;1,1411
500;762;1,3108
500;1062;0,9412
500;927;1,0787
500;949;1,0531
500;783;1,2767
500;790;1,2654
500;739;1,3531
500;978;1,0217
500;1050;0,9518
500;887;1,1265
500;919;1,0870
500;678;1,4747
500;1046;0,9559
500;1030;0,9701
500;1095;0,9132
500;981;1,0191
500;946;1,0567
500;1029;0,9716
500;1054;0,9480
500;1132;0,8829
500;1044;0,9573
500;1084;0,9224
500;1110;0,9007
500;1103;0,9063
500;1075;0,9302
500;1120;0,8922
500;1099;0,9093
500;1049;0,9527
500;1053;0,9488
500;1031;0,9693
500;1044;0,9578
1500;260;3,8363
1500;386;2,5887
1500;386;2,5876
1500;363;2,7486
1500;469;2,1318
1500;381;2,6219
1500;431;2,3198
1500;359;2,7852
1500;400;2,4988
1500;432;2,3114
1500;437;2,2866
1500;458;2,1797
1500;391;2,5571
1500;372;2,6881
1500;452;2,2114
1500;452;2,2096
1500;446;2,2391
1500;229;4,3523
1500;508;1,9673
1500;454;2,1985
1500;426;2,3464
1500;391;2,5559
1500;400;2,4976
1500;407;2,4551
1500;472;2,1167
1500;480;2,0792
1500;467;2,1403
1500;486;2,0550
1500;428;2,3337
1500;365;2,7388
1500;443;2,2528
1500;445;2,2437
1500;501;1,9958
1500;499;2,0015
1500;484;2,0632
1500;442;2,2580
1500;487;2,0517
1500;418;2,3899
1500;436;2,2901
1500;487;2,0527
1500;475;2,1017
1500;445;2,2434
1500;364;2,7462
1500;322;3,1013
1500;496;2,0130
1500;484;2,0654
1500;411;2,4283
1500;409;2,4430
1500;395;2,5302
1500;402;2,4842
1500;410;2,4359
2500;122;8,1916
2500;205;4,8617
2500;180;5,5454
2500;176;5,6503
2500;199;5,0210
2500;152;6,5590
2500;206;4,8528
2500;213;4,6776
2500;248;4,0252
2500;237;4,2179
2500;187;5,3359
2500;212;4,7082
2500;217;4,5903
2500;238;4,2001
2500;203;4,9025
2500;226;4,4225
2500;237;4,2132
2500;216;4,6156
2500;214;4,6587
2500;159;6,2644
2500;181;5,5206
2500;175;5,6947
2500;199;5,0232
2500;228;4,3778
2500;223;4,4707
2500;241;4,1413
2500;210;4,7395
2500;205;4,8736
2500;219;4,5495
2500;222;4,4855
2500;255;3,9087
2500;254;3,9240
2500;276;3,6156
2500;173;5,7793
2500;274;3,6472
2500;243;4,1025
2500;178;5,6095
2500;162;6,1507
2500;201;4,9732
2500;189;5,2677
2500;191;5,2281
2500;211;4,7312
2500;209;4,7631
2500;225;4,4266
2500;276;3,6159
2500;266;3,7548
2500;236;4,2302
2500;257;3,8843
2500;253;3,9490
2500;248;4,0321
2500;237;4,2146
5000;86;11,5494
5000;82;12,1471
5000;80;12,4877
5000;70;14,0957
5000;77;12,9312
5000;79;12,6354
5000;82;12,1795
5000;85;11,7455
5000;80;12,3910
5000;82;12,1660
5000;77;12,8474
5000;73;13,5761
5000;86;11,6066
5000;78;12,7595
5000;81;12,2993
5000;70;14,2313
5000;76;13,1073
5000;76;13,0460
5000;72;13,7527
5000;84;11,8553
5000;80;12,4718
5000;75;13,1695
5000;82;12,1637
5000;72;13,8884
5000;71;13,9690
5000;76;13,1503
5000;76;13,1046
5000;74;13,3860
5000;79;12,6244
5000;81;12,3115
5000;76;13,0842
5000;75;13,2434
5000;75;13,1605
5000;80;12,4607
5000;75;13,2480
5000;74;13,3686
5000;60;16,6380
5000;77;12,8713
5000;78;12,7965
5000;72;13,8631
5000;80;12,3845
5000;71;13,9284
5000;73;13,5224
5000;70;14,2382
5000;69;14,4639
5000;66;15,1283
5000;70;14,1656
5000;66;15,0823
5000;68;14,5288
5000;68;14,5295
5000;78;12,7663
7500;40;24,9331
7500;35;28,1371
7500;36;27,0589
7500;34;29,4007
7500;39;25,2336
7500;39;25,0191
7500;38;26,0408
7500;35;27,9882
7500;38;25,9438
7500;40;24,8721
7500;39;25,1225
7500;39;25,5582
7500;39;25,5827
7500;40;24,8448
7500;41;24,3036
7500;41;24,3680
7500;35;28,0458
7500;36;27,0980
7500;34;28,9337
7500;38;26,2800
7500;39;25,5261
7500;38;26,1758
7500;39;25,4276
7500;38;25,8194
7500;36;27,2598
7500;38;25,6473
7500;38;25,9770
7500;36;27,1436
7500;36;27,3051
7500;39;25,1064
7500;39;25,3611
7500;40;24,8986
7500;39;25,3598
7500;39;25,5390
7500;37;26,9073
7500;39;25,0895
7500;37;26,6035
7500;33;29,6652
7500;36;27,6496
7500;37;26,7903
7500;37;26,4040
7500;37;26,6504
7500;34;28,5852
7500;35;28,2522
7500;36;27,3007
7500;35;28,0632
7500;33;29,5942
7500;36;27,7289
7500;34;28,6401
7500;36;27,2639
7500;35;28,1097
10000;23;42,8182
10000;25;39,8328
10000;24;41,2733
10000;23;42,8003
10000;22;44,6032
10000;22;44,2093
10000;23;42,9583
10000;23;42,8999
10000;23;43,0742
10000;22;45,0895
10000;20;47,9907
10000;22;44,6903
10000;21;46,9647
10000;20;49,4503
10000;21;46,9707
10000;21;46,0445
10000;21;47,1055
10000;22;43,5154
10000;22;44,0159
10000;22;43,9747
10000;22;45,3290
10000;22;45,3127
10000;23;43,1551
10000;21;45,7917
10000;19;50,9634
10000;20;48,1496
10000;20;49,6338
10000;20;48,9445
10000;20;48,0146
10000;21;46,6758
10000;21;47,4923
10000;22;44,5439
10000;22;43,7797
10000;21;45,9685
10000;20;49,8590
10000;21;46,0639
10000;21;45,4879
10000;22;45,0988
10000;20;47,9735
10000;20;48,7043
10000;22;44,6916
10000;20;47,8187
10000;21;46,5585
10000;21;46,3302
10000;20;48,2007
10000;21;46,8473
10000;20;47,8707
10000;20;48,1202
10000;21;46,3814
10000;20;48,1728
10000;21;46,1818
