numBoids;framerate;executionTime(ms)
500;28;34,7040
500;52;18,9932
500;39;25,5463
500;158;6,3233
500;256;3,9050
500;309;3,2344
500;244;4,0859
500;309;3,2315
500;315;3,1679
500;93;10,6539
500;302;3,3083
500;394;2,5378
500;214;4,6645
500;394;2,5363
500;412;2,4240
500;421;2,3734
500;133;7,4700
500;376;2,6568
500;485;2,0596
500;484;2,0626
500;496;2,0143
500;560;1,7846
500;646;1,5469
500;658;1,5175
500;463;2,1576
500;502;1,9913
500;462;2,1610
500;399;2,5016
500;484;2,0645
500;8;111,2086
500;889;1,1236
500;1110;0,9009
500;1471;0,6795
500;1138;0,8785
500;1350;0,7405
500;1214;0,8235
500;1259;0,7940
500;1351;0,7400
500;1401;0,7135
500;1328;0,7530
500;1531;0,6528
500;820;1,2182
500;790;1,2644
500;412;2,4267
500;880;1,1354
500;925;1,0810
500;986;1,0134
500;987;1,0125
500;1108;0,9023
500;451;2,2140
500;1106;0,9040
1500;247;4,0414
1500;103;9,6593
1500;265;3,7596
1500;140;7,1190
1500;208;4,7978
1500;222;4,4880
1500;215;4,6338
1500;221;4,5146
1500;279;3,5840
1500;310;3,2250
1500;278;3,5948
1500;291;3,4315
1500;234;4,2705
1500;71;14,0083
1500;395;2,5265
1500;196;5,0818
1500;328;3,0487
1500;166;5,9922
1500;276;3,6148
1500;265;3,7683
1500;223;4,4762
1500;281;3,5549
1500;273;3,6555
1500;341;2,9324
1500;296;3,3744
1500;105;9,4633
1500;271;3,6867
1500;391;2,5523
1500;356;2,8049
1500;343;2,9092
1500;312;3,1993
1500;324;3,0775
1500;320;3,1153
1500;252;3,9681
1500;337;2,9628
1500;336;2,9720
1500;324;3,0823
1500;302;3,3083
1500;304;3,2793
1500;314;3,1797
1500;305;3,2750
1500;316;3,1559
1500;97;10,3089
1500;250;3,9890
1500;251;3,9768
1500;376;2,6565
1500;346;2,8877
1500;360;2,7777
1500;147;6,7890
1500;311;3,2066
1500;317;3,1461
2500;216;4,6135
2500;206;4,8485
2500;210;4,7412
2500;132;7,5552
2500;148;6,7382
2500;174;5,7389
2500;164;6,0967
2500;185;5,3877
2500;104;9,5313
2500;61;16,2387
2500;155;6,4148
2500;154;6,4531
2500;144;6,9033
2500;141;7,0623
2500;157;6,3401
2500;159;6,2757
2500;155;6,4393
2500;92;10,7597
2500;168;5,9272
2500;160;6,2309
2500;137;7,2829
2500;113;8,7861
2500;143;6,9472
2500;112;8,8722
2500;160;6,2452
2500;166;6,0011
2500;50;19,7580
2500;84;11,8526
2500;163;6,1033
2500;162;6,1542
2500;109;9,1045
2500;135;7,4025
2500;162;6,1612
2500;160;6,2461
2500;131;7,5911
2500;127;7,8317
2500;148;6,7420
2500;74;13,3810
2500;159;6,2710
2500;135;7,3604
2500;138;7,2143
2500;158;6,3204
2500;49;20,0025
2500;142;7,0129
2500;167;5,9726
2500;170;5,8522
2500;117;8,5426
2500;155;6,4311
2500;168;5,9244
2500;146;6,8312
2500;143;6,9627
5000;73;13,6679
5000;58;17,1014
5000;41;24,1826
5000;57;17,3664
5000;35;27,9432
5000;50;19,6175
5000;50;19,8499
5000;39;25,1840
5000;42;23,3253
5000;18;53,7308
5000;32;31,0976
5000;29;34,0723
5000;29;34,0825
5000;29;33,4425
5000;32;31,1870
5000;27;35,8309
5000;30;32,4011
5000;32;30,6983
5000;30;32,6480
5000;31;31,4849
5000;31;32,1127
5000;31;31,4949
5000;20;49,0141
5000;40;24,5228
5000;41;23,9933
5000;33;29,9780
5000;35;27,9535
5000;46;21,4173
5000;41;23,9436
5000;44;22,6603
5000;42;23,3711
5000;40;24,3989
5000;18;54,6322
5000;37;26,5823
5000;37;26,5519
5000;36;27,2106
5000;33;29,7644
5000;35;28,3853
5000;29;33,6077
5000;32;30,9660
5000;29;33,8567
5000;30;33,2751
5000;45;22,0049
5000;32;30,7948
5000;19;50,1845
5000;35;28,3612
5000;44;22,6062
5000;40;24,4594
5000;35;28,3528
5000;43;23,1142
5000;33;30,2658
7500;30;32,4346
7500;20;49,1176
7500;22;45,1738
7500;20;49,1267
7500;11;83,9169
7500;12;82,7008
7500;13;76,0812
7500;13;73,0686
7500;13;71,6904
7500;13;76,3552
7500;11;85,9013
7500;10;94,6084
7500;10;94,5233
7500;10;96,7581
7500;11;87,7917
7500;7;128,8301
7500;10;99,6237
7500;8;114,7275
7500;11;85,0097
7500;8;120,9803
7500;9;104,0141
7500;13;73,5786
7500;8;116,4760
7500;7;125,3122
7500;13;71,7484
7500;19;52,5310
7500;15;66,4882
7500;13;72,5265
7500;16;61,8655
7500;15;64,0896
7500;14;67,6545
7500;13;74,3359
7500;10;91,3231
7500;7;136,3185
7500;8;111,7157
7500;11;84,3952
7500;13;75,2255
7500;12;79,5531
7500;12;79,9811
7500;9;102,8128
7500;6;164,7388
7500;8;123,9948
7500;8;116,3393
7500;10;94,0151
7500;10;97,6066
7500;12;81,8288
7500;10;93,1535
7500;7;135,3495
7500;4;216,4323
7500;5;174,7542
7500;10;96,9146
10000;15;66,3021
10000;10;91,5363
10000;6;149,1605
10000;4;214,7470
10000;5;176,8286
10000;6;156,2876
10000;6;154,4667
10000;5;169,5178
10000;5;176,3739
10000;7;142,1386
10000;6;146,5012
10000;6;160,9515
10000;4;206,6549
10000;6;144,1901
10000;7;126,8700
10000;8;124,5342
10000;6;145,9498
10000;7;136,3614
10000;6;157,1192
10000;7;139,4055
10000;7;140,0984
10000;6;146,3075
10000;5;186,7591
10000;4;206,4263
10000;5;175,8256
10000;5;178,5045
10000;6;159,0210
10000;5;192,6984
10000;5;190,8984
10000;6;161,8155
10000;5;181,5818
10000;5;178,3701
10000;6;156,6150
10000;8;123,4743
10000;6;149,7902
10000;7;141,8919
10000;4;222,9119
10000;3;281,9000
10000;4;215,8958
10000;7;138,0502
10000;6;143,4270
10000;6;155,6824
10000;4;200,1234
10000;6;164,8717
10000;6;152,9965
10000;7;133,7707
10000;7;136,7675
10000;4;211,4706
10000;5;195,1281
10000;5;184,3244
10000;5;167,1465
