numBoids;framerate;executionTime(ms)
500;119;8,3601
500;173;5,7779
500;215;4,6316
500;114;8,7288
500;201;4,9694
500;209;4,7826
500;220;4,5264
500;218;4,5772
500;222;4,4894
500;224;4,4615
500;223;4,4672
500;222;4,4976
500;222;4,5000
500;224;4,4590
500;226;4,4141
500;225;4,4323
500;227;4,4029
500;226;4,4164
500;225;4,4248
500;225;4,4349
500;227;4,3996
500;226;4,4115
500;227;4,4035
500;227;4,3970
500;226;4,4219
500;222;4,4881
500;224;4,4458
500;220;4,5321
500;189;5,2888
500;210;4,7498
500;184;5,4258
500;200;4,9983
500;182;5,4683
500;216;4,6186
500;225;4,4372
500;197;5,0706
500;203;4,9238
500;219;4,5536
500;191;5,2348
500;220;4,5393
500;224;4,4540
500;206;4,8356
500;213;4,6814
500;215;4,6494
500;217;4,5875
500;201;4,9724
500;211;4,7320
500;216;4,6224
500;216;4,6186
500;223;4,4758
500;219;4,5554
1500;20;48,4966
1500;19;52,1726
1500;23;42,5506
1500;25;39,7285
1500;25;39,6020
1500;25;38,9886
1500;25;39,0619
1500;25;39,3744
1500;25;39,1385
1500;25;39,0268
1500;25;38,5122
1500;24;40,8518
1500;24;40,7176
1500;22;43,8191
1500;25;38,7503
1500;25;39,6978
1500;24;40,4852
1500;25;39,2421
1500;25;39,2685
1500;25;39,4421
1500;26;38,1556
1500;26;37,0435
1500;25;38,7974
1500;24;40,2257
1500;24;40,7027
1500;25;39,4746
1500;27;36,8175
1500;27;36,7934
1500;24;40,4708
1500;27;36,6177
1500;26;37,6058
1500;26;37,3255
1500;26;37,2947
1500;26;37,5477
1500;26;37,1807
1500;26;37,0759
1500;26;37,3992
1500;26;37,5579
1500;26;37,1812
1500;27;36,9931
1500;25;39,7753
1500;24;40,2898
1500;24;40,0997
1500;25;38,9253
1500;26;38,0995
1500;24;40,3507
1500;26;38,0392
1500;24;41,1585
1500;24;40,6684
1500;26;37,4390
1500;26;38,2689
2500;9;102,3038
2500;9;101,2354
2500;9;103,8356
2500;9;102,0668
2500;9;100,7511
2500;9;102,2522
2500;9;103,4571
2500;8;123,5552
2500;9;108,3285
2500;9;101,7052
2500;9;100,1101
2500;9;100,3347
2500;9;100,9550
2500;9;100,4353
2500;9;100,2996
2500;8;116,4406
2500;9;100,0224
2500;9;101,7247
2500;9;106,2975
2500;9;101,0959
2500;9;100,8646
2500;10;99,7153
2500;9;102,2779
2500;8;116,1357
2500;9;100,0819
2500;10;99,7270
2500;9;100,9496
2500;9;101,6361
2500;9;103,6847
2500;9;105,8873
2500;9;101,2600
2500;8;115,7713
2500;9;102,0452
2500;9;101,3094
2500;9;100,4718
2500;9;100,2675
2500;9;105,7072
2500;9;110,3322
2500;9;101,5086
2500;9;103,2485
2500;8;114,6166
2500;9;101,1379
2500;9;101,4019
2500;9;101,9997
2500;9;101,7457
2500;9;101,8511
2500;9;103,1046
2500;9;101,6946
2500;8;119,4631
2500;9;103,2131
2500;9;103,1278
5000;2;406,1714
5000;2;405,3434
5000;2;409,8599
5000;2;410,7538
5000;2;398,1130
5000;2;414,5879
5000;2;401,0211
5000;2;433,4299
5000;2;402,7955
5000;2;407,6359
5000;2;407,4742
5000;2;414,9935
5000;2;402,4810
5000;2;426,6636
5000;2;401,1575
5000;2;402,4964
5000;2;419,2588
5000;2;404,8731
5000;2;427,1703
5000;2;401,2449
5000;2;422,9846
5000;2;416,0085
5000;2;422,5272
5000;2;410,8937
5000;2;430,3260
5000;2;407,1150
5000;2;427,2590
5000;2;402,3821
5000;2;422,4666
5000;2;409,7451
5000;2;411,3339
5000;2;409,8218
5000;2;414,9685
5000;2;406,9553
5000;2;429,1669
5000;2;410,6293
5000;2;417,6020
5000;2;410,6031
5000;2;420,5822
5000;2;413,1651
5000;2;418,5885
5000;2;407,0432
5000;2;426,6516
5000;2;407,0211
5000;2;426,2185
5000;2;418,6250
5000;2;421,0621
5000;2;405,9673
5000;2;428,3309
5000;2;408,3330
5000;2;424,4552
7500;1;910,3088
7500;1;918,4401
7500;1;915,1796
7500;1;918,9724
7500;1;921,3283
7500;1;916,1438
7500;1;920,6852
7500;1;916,9135
7500;1;926,7484
7500;1;955,1875
7500;1;928,6192
7500;1;922,7387
7500;1;914,3927
7500;1;909,1412
7500;1;919,0224
7500;1;919,8544
7500;1;917,2894
7500;1;920,5029
7500;1;936,8616
7500;1;923,0866
7500;1;934,1405
7500;1;938,2631
7500;1;932,0981
7500;1;928,4832
7500;1;923,4514
7500;1;926,3232
7500;1;918,7120
7500;1;913,9666
7500;1;920,4317
7500;1;922,2630
7500;1;926,4429
7500;1;949,8361
7500;1;929,5717
7500;1;921,5187
7500;1;928,1739
7500;1;936,1026
7500;0;1039,5526
7500;1;954,8353
7500;1;971,2607
7500;1;948,5111
7500;1;969,2897
7500;1;944,8369
7500;1;971,4636
7500;1;983,0641
7500;1;999,0451
7500;1;980,3889
7500;1;988,5506
7500;1;956,6393
7500;1;975,2690
7500;1;931,2850
7500;1;969,4830
10000;0;1685,3683
10000;0;1653,5803
10000;0;1604,9894
10000;0;1584,9153
10000;0;1658,4482
10000;0;1669,1406
10000;0;1675,5717
10000;0;1641,6670
10000;0;1610,0135
10000;0;1603,4801
10000;0;1611,5739
10000;0;1640,5919
10000;0;1700,3433
10000;0;1648,8625
10000;0;1612,5293
10000;0;1615,7148
10000;0;1609,9362
10000;0;1619,9035
10000;0;1622,9899
10000;0;1662,5084
10000;0;1643,8021
10000;0;1612,0934
10000;0;1612,6133
10000;0;1619,1812
10000;0;1628,6035
10000;0;1624,0367
10000;0;1604,1668
10000;0;1612,2577
10000;0;1609,5971
10000;0;1616,6359
10000;0;1625,4098
10000;0;1625,5573
10000;0;1618,0650
10000;0;1604,3792
10000;0;1626,3533
10000;0;1617,7426
10000;0;1632,0120
10000;0;1633,3487
10000;0;1631,1139
10000;0;1616,9762
10000;0;1667,5218
10000;0;1661,2109
10000;0;1643,0044
10000;0;1653,4429
10000;0;1622,4396
10000;0;1626,2099
10000;0;1621,8273
10000;0;1652,0042
10000;0;1678,9544
10000;0;1672,5511
10000;0;1677,0579
